Prompt_id,conversation_json,turn_1_user,turn_2_user,turn_3_user,active_instruction_ids_json,active_kwargs_json
66,"[{""role"": ""user"", ""content"": ""Can you write me an essay about the history of Martin Van Buren's presidency? Make sure that it's in English and not a single letter in your entire response is capitalized whatsoever.""}, {""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}, {""role"": ""user"", ""content"": ""Your response should not include the following words: democrat, improvement, texas.""}]",Can you write me an essay about the history of Martin Van Buren's presidency? Make sure that it's in English and not a single letter in your entire response is capitalized whatsoever.,"The text should contain a postscript marker, specifically the phrase ""P.S."", which indicates additional information or a final thought.","Your response should not include the following words: democrat, improvement, texas.","[""change_case:english_lowercase"", ""detectable_content:postscript"", ""keywords:forbidden_words""]","[{}, {""postscript_marker"": ""P.S.""}, {""forbidden_words"": [""democrat"", ""improvement"", ""texas""]}]"
67,"[{""role"": ""user"", ""content"": ""Write a rubric for evaluating a musical composition. Please wrap your entire reply with double quotation marks. There should be exactly 6 paragraphs separated by the markdown divider: ***\nIn your response, use words with all capital letters (such as \""RUBRIC\"") at least 5 times.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your response should not include the following words: dynamics, harmony, expression.""}]","Write a rubric for evaluating a musical composition. Please wrap your entire reply with double quotation marks. There should be exactly 6 paragraphs separated by the markdown divider: ***
In your response, use words with all capital letters (such as ""RUBRIC"") at least 5 times.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","Your response should not include the following words: dynamics, harmony, expression.","[""startend:quotation"", ""length_constraints:number_paragraphs"", ""change_case:capital_word_frequency"", ""detectable_format:title"", ""keywords:forbidden_words""]","[{}, {""num_paragraphs"": 6}, {""capital_relation"": ""at least"", ""capital_frequency"": 5}, {}, {""forbidden_words"": [""dynamics"", ""harmony"", ""expression""]}]"
68,"[{""role"": ""user"", ""content"": ""Write a rubric for evaluating a musical composition. Please wrap your entire reply with double quotation marks. There should be exactly 6 paragraphs separated by the markdown divider: ***\nIn your response, use words with all capital letters (such as \""RUBRIC\"") at least 5 times.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: expression, technique, melody.""}, {""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}]","Write a rubric for evaluating a musical composition. Please wrap your entire reply with double quotation marks. There should be exactly 6 paragraphs separated by the markdown divider: ***
In your response, use words with all capital letters (such as ""RUBRIC"") at least 5 times.","Your response should include the following keywords: expression, technique, melody.","The text should contain a postscript marker, specifically the phrase ""P.S."", which indicates additional information or a final thought.","[""startend:quotation"", ""length_constraints:number_paragraphs"", ""change_case:capital_word_frequency"", ""keywords:existence"", ""detectable_content:postscript""]","[{}, {""num_paragraphs"": 6}, {""capital_relation"": ""at least"", ""capital_frequency"": 5}, {""keywords"": [""expression"", ""technique"", ""melody""]}, {""postscript_marker"": ""P.S.""}]"
69,"[{""role"": ""user"", ""content"": ""Write a professional email that you could send to ask your boss for a raise. At the end of your response, explicitly add a postscript starting with P.P.S\n\nFinish your entire response with this exact phrase: Hope you agree with me.""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""Your response should include the word salary at least 2 times.""}]","Write a professional email that you could send to ask your boss for a raise. At the end of your response, explicitly add a postscript starting with P.P.S

Finish your entire response with this exact phrase: Hope you agree with me.","Make sure your entire response is in English, and in all capital letters.",Your response should include the word salary at least 2 times.,"[""detectable_content:postscript"", ""startend:end_checker"", ""change_case:english_capital"", ""keywords:frequency""]","[{""postscript_marker"": ""P.P.S""}, {""end_phrase"": ""Hope you agree with me.""}, {}, {""relation"": ""at least"", ""keyword"": ""salary"", ""frequency"": 2}]"
70,"[{""role"": ""user"", ""content"": ""Rewrite the following sentence in only Vietnamese, no other language is allowed, and refrain from using commas: \""We may be able to improve our model for the next year. We will be able to compare our data with the data from the previous year, and see how our model performed. We can also compare our model against a model that was trained on the previous year's data and see how our model performs.\"" No other language except Vietnamese is allowed to be used in your response.""}, {""role"": ""user"", ""content"": ""The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}, {""role"": ""user"", ""content"": ""Your response should not include the following words: mô, tiến, năm.""}]","Rewrite the following sentence in only Vietnamese, no other language is allowed, and refrain from using commas: ""We may be able to improve our model for the next year. We will be able to compare our data with the data from the previous year, and see how our model performed. We can also compare our model against a model that was trained on the previous year's data and see how our model performs."" No other language except Vietnamese is allowed to be used in your response.",The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.,"Your response should not include the following words: mô, tiến, năm.","[""punctuation:no_comma"", ""language:response_language"", ""length_constraints:number_paragraphs"", ""keywords:forbidden_words""]","[{}, {""language"": ""vi""}, {""num_paragraphs"": 3}, {""forbidden_words"": [""mô"", ""tiến"", ""năm""]}]"
71,"[{""role"": ""user"", ""content"": ""Rewrite the following sentence in only Vietnamese, no other language is allowed, and refrain from using commas: \""We may be able to improve our model for the next year. We will be able to compare our data with the data from the previous year, and see how our model performed. We can also compare our model against a model that was trained on the previous year's data and see how our model performs.\"" No other language except Vietnamese is allowed to be used in your response.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your response should include the word cải at least 3 times.""}]","Rewrite the following sentence in only Vietnamese, no other language is allowed, and refrain from using commas: ""We may be able to improve our model for the next year. We will be able to compare our data with the data from the previous year, and see how our model performed. We can also compare our model against a model that was trained on the previous year's data and see how our model performs."" No other language except Vietnamese is allowed to be used in your response.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",Your response should include the word cải at least 3 times.,"[""punctuation:no_comma"", ""language:response_language"", ""detectable_format:title"", ""keywords:frequency""]","[{}, {""language"": ""vi""}, {}, {""relation"": ""at least"", ""keyword"": ""cải"", ""frequency"": 3}]"
72,"[{""role"": ""user"", ""content"": ""How to write a good Chinese poem? At the end of your response, please explicitly add a note starting with \""P.S.\""""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}]","How to write a good Chinese poem? At the end of your response, please explicitly add a note starting with ""P.S.""","Make sure your entire response is in English, and in all capital letters.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","[""detectable_content:postscript"", ""change_case:english_capital"", ""detectable_format:title""]","[{""postscript_marker"": ""P.S.""}, {}, {}]"
73,"[{""role"": ""user"", ""content"": ""How to write a good Chinese poem? At the end of your response, please explicitly add a note starting with \""P.S.\""""}, {""role"": ""user"", ""content"": ""The text should contain at least 2 sections separated by the word \""Audience\"".""}, {""role"": ""user"", ""content"": ""In your response, words in all capital letters should have at least 2 times.""}]","How to write a good Chinese poem? At the end of your response, please explicitly add a note starting with ""P.S.""","The text should contain at least 2 sections separated by the word ""Audience"".","In your response, words in all capital letters should have at least 2 times.","[""detectable_content:postscript"", ""detectable_format:multiple_sections"", ""change_case:capital_word_frequency""]","[{""postscript_marker"": ""P.S.""}, {""section_spliter"": ""Audience"", ""num_sections"": 2}, {""capital_relation"": ""at least"", ""capital_frequency"": 2}]"
74,"[{""role"": ""user"", ""content"": ""Write an itinerary for a trip to a grocery store in Lima to buy some local goods. Make the itinerary funny, write it in all capital letters and include the keywords 'DISGUSTING', 'DELICIOUS', 'BAD', and 'GOOD'.""}, {""role"": ""user"", ""content"": ""Wrap your whole response with double quotation marks.""}, {""role"": ""user"", ""content"": ""The text should contain at least 900 words.""}]","Write an itinerary for a trip to a grocery store in Lima to buy some local goods. Make the itinerary funny, write it in all capital letters and include the keywords 'DISGUSTING', 'DELICIOUS', 'BAD', and 'GOOD'.",Wrap your whole response with double quotation marks.,The text should contain at least 900 words.,"[""change_case:english_capital"", ""keywords:existence"", ""startend:quotation"", ""length_constraints:number_words""]","[{}, {""keywords"": [""disgusting"", ""delicious"", ""bad"", ""good""]}, {}, {""relation"": ""at least"", ""num_words"": 900}]"
75,"[{""role"": ""user"", ""content"": ""Hallucinate a resume for a glass artist in Adelaide. Make sure the resume is in English and all lowercase. The resume should have at least 800 words.""}, {""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}]",Hallucinate a resume for a glass artist in Adelaide. Make sure the resume is in English and all lowercase. The resume should have at least 800 words.,You should provide two responses. Separate your two responses with six asterisks (******),"The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","[""length_constraints:number_words"", ""change_case:english_lowercase"", ""combination:two_responses"", ""detectable_format:title""]","[{""relation"": ""at least"", ""num_words"": 800}, {}, {}, {}]"
76,"[{""role"": ""user"", ""content"": ""Hallucinate a resume for a glass artist in Adelaide. Make sure the resume is in English and all lowercase. The resume should have at least 800 words.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your response should not include the following words: award, education, gallery.""}]",Hallucinate a resume for a glass artist in Adelaide. Make sure the resume is in English and all lowercase. The resume should have at least 800 words.,"The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","Your response should not include the following words: award, education, gallery.","[""length_constraints:number_words"", ""change_case:english_lowercase"", ""detectable_format:title"", ""keywords:forbidden_words""]","[{""relation"": ""at least"", ""num_words"": 800}, {}, {}, {""forbidden_words"": [""award"", ""education"", ""gallery""]}]"
77,"[{""role"": ""user"", ""content"": ""Explain to a group of elementary school students why we have seasons. You should add a postscript starting with P.S. at the end of your response.""}, {""role"": ""user"", ""content"": ""Your response should have 7 paragraphs and the 7-th paragraph should start with the word hemisphere. The paragraphs should be separated by two new lines.""}, {""role"": ""user"", ""content"": ""In your response, words in all capital letters should have less than 5 times.""}]",Explain to a group of elementary school students why we have seasons. You should add a postscript starting with P.S. at the end of your response.,Your response should have 7 paragraphs and the 7-th paragraph should start with the word hemisphere. The paragraphs should be separated by two new lines.,"In your response, words in all capital letters should have less than 5 times.","[""detectable_content:postscript"", ""length_constraints:nth_paragraph_first_word"", ""change_case:capital_word_frequency""]","[{""postscript_marker"": ""P.S.""}, {""first_word"": ""hemisphere"", ""num_paragraphs"": 7, ""nth_paragraph"": 7}, {""capital_relation"": ""less than"", ""capital_frequency"": 5}]"
78,"[{""role"": ""user"", ""content"": ""I asked a friend about how to remove rust from my bike chain. He told me to pour coke on it and then scrub it with a steel wool. Is this a good way to remove rust? Respond with at least 20 sentences and have more than 4 words be in all capital letters.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""remember, regular maintenance keeps your bike in top condition.\"" No other words should follow this phrase.""}]",I asked a friend about how to remove rust from my bike chain. He told me to pour coke on it and then scrub it with a steel wool. Is this a good way to remove rust? Respond with at least 20 sentences and have more than 4 words be in all capital letters.,"The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","Your response should end with the exact phrase: ""remember, regular maintenance keeps your bike in top condition."" No other words should follow this phrase.","[""length_constraints:number_sentences"", ""change_case:capital_word_frequency"", ""detectable_format:title"", ""startend:end_checker""]","[{""relation"": ""at least"", ""num_sentences"": 20}, {""capital_relation"": ""at least"", ""capital_frequency"": 5}, {}, {""end_phrase"": ""remember, regular maintenance keeps your bike in top condition.""}]"
79,"[{""role"": ""user"", ""content"": ""I asked a friend about how to remove rust from my bike chain. He told me to pour coke on it and then scrub it with a steel wool. Is this a good way to remove rust? Respond with at least 20 sentences and have more than 4 words be in all capital letters.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""remember, regular maintenance keeps your bike in top condition.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""Your response should not include the following words: durable, abrasive, rinse.""}]",I asked a friend about how to remove rust from my bike chain. He told me to pour coke on it and then scrub it with a steel wool. Is this a good way to remove rust? Respond with at least 20 sentences and have more than 4 words be in all capital letters.,"Your response should end with the exact phrase: ""remember, regular maintenance keeps your bike in top condition."" No other words should follow this phrase.","Your response should not include the following words: durable, abrasive, rinse.","[""length_constraints:number_sentences"", ""change_case:capital_word_frequency"", ""startend:end_checker"", ""keywords:forbidden_words""]","[{""relation"": ""at least"", ""num_sentences"": 20}, {""capital_relation"": ""at least"", ""capital_frequency"": 5}, {""end_phrase"": ""remember, regular maintenance keeps your bike in top condition.""}, {""forbidden_words"": [""durable"", ""abrasive"", ""rinse""]}]"
80,"[{""role"": ""user"", ""content"": ""Create an English name for a luxury real estate company that sells beachfront homes. All letters in your response must be lower case letters. Also, please put double quotation marks around your entire response.""}, {""role"": ""user"", ""content"": ""The result should contain at least 7 sections, and each section should be separated by the word \""Day\"".""}, {""role"": ""user"", ""content"": ""Your response should not include the following words: waterfront, oasis, haven.""}]","Create an English name for a luxury real estate company that sells beachfront homes. All letters in your response must be lower case letters. Also, please put double quotation marks around your entire response.","The result should contain at least 7 sections, and each section should be separated by the word ""Day"".","Your response should not include the following words: waterfront, oasis, haven.","[""change_case:english_lowercase"", ""startend:quotation"", ""detectable_format:multiple_sections"", ""keywords:forbidden_words""]","[{}, {}, {""section_spliter"": ""Day"", ""num_sections"": 7}, {""forbidden_words"": [""waterfront"", ""oasis"", ""haven""]}]"
81,"[{""role"": ""user"", ""content"": ""Write a short article about the morphology of the Ukrainian language, with 200 words or less. Make sure the letter c appears at least 60 times in your response.""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""There should be 1 section highlighted with markdown, example: *highlighted section*.""}]","Write a short article about the morphology of the Ukrainian language, with 200 words or less. Make sure the letter c appears at least 60 times in your response.","Make sure your entire response is in English, and in all capital letters.","There should be 1 section highlighted with markdown, example: *highlighted section*.","[""keywords:letter_frequency"", ""length_constraints:number_words"", ""change_case:english_capital"", ""detectable_format:number_highlighted_sections""]","[{""let_relation"": ""at least"", ""letter"": ""c"", ""let_frequency"": 60}, {""relation"": ""less than"", ""num_words"": 201}, {}, {""num_highlights"": 1}]"
82,"[{""role"": ""user"", ""content"": ""Write a song about being excited to go on vacation, without using the letter e whatsoever in your entire response. Separate your song into 3 parts, where each part is separated with ***.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your result must be entirely in lowercase English.""}]","Write a song about being excited to go on vacation, without using the letter e whatsoever in your entire response. Separate your song into 3 parts, where each part is separated with ***.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",Your result must be entirely in lowercase English.,"[""keywords:letter_frequency"", ""length_constraints:number_paragraphs"", ""detectable_format:title"", ""change_case:english_lowercase""]","[{""let_relation"": ""less than"", ""letter"": ""e"", ""let_frequency"": 1}, {""num_paragraphs"": 3}, {}, {}]"
83,"[{""role"": ""user"", ""content"": ""Write a song about being excited to go on vacation, without using the letter e whatsoever in your entire response. Separate your song into 3 parts, where each part is separated with ***.""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}]","Write a song about being excited to go on vacation, without using the letter e whatsoever in your entire response. Separate your song into 3 parts, where each part is separated with ***.","Make sure your entire response is in English, and in all capital letters.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","[""keywords:letter_frequency"", ""length_constraints:number_paragraphs"", ""change_case:english_capital"", ""detectable_format:title""]","[{""let_relation"": ""less than"", ""letter"": ""e"", ""let_frequency"": 1}, {""num_paragraphs"": 3}, {}, {}]"
84,"[{""role"": ""user"", ""content"": ""Expand the following and make it funny: Jeanne has rolled the dice. She thought she lost, but actually she won.\n\nItalicize at least 10 text parts with markdown (using * to italicize, like *italic text*).\nDo not use any commas in your response.""}, {""role"": ""user"", ""content"": ""In your response, words in all capital letters should have at least 20 times.""}, {""role"": ""user"", ""content"": ""Wrap your whole response with double quotation marks.""}]","Expand the following and make it funny: Jeanne has rolled the dice. She thought she lost, but actually she won.

Italicize at least 10 text parts with markdown (using * to italicize, like *italic text*).
Do not use any commas in your response.","In your response, words in all capital letters should have at least 20 times.",Wrap your whole response with double quotation marks.,"[""detectable_format:number_highlighted_sections"", ""punctuation:no_comma"", ""change_case:capital_word_frequency"", ""startend:quotation""]","[{""num_highlights"": 10}, {}, {""capital_relation"": ""at least"", ""capital_frequency"": 20}, {}]"
85,"[{""role"": ""user"", ""content"": ""Rewrite the following sentence into an email, and make sure it contains at least 10 placeholders represented by square brackets, such as [name]: The boots are warm but a little uncomfortable.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""looking forward to your prompt response.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""Your response should not include the following words: appreciation, product, exchange.""}]","Rewrite the following sentence into an email, and make sure it contains at least 10 placeholders represented by square brackets, such as [name]: The boots are warm but a little uncomfortable.","Your response should end with the exact phrase: ""looking forward to your prompt response."" No other words should follow this phrase.","Your response should not include the following words: appreciation, product, exchange.","[""detectable_content:number_placeholders"", ""startend:end_checker"", ""keywords:forbidden_words""]","[{""num_placeholders"": 10}, {""end_phrase"": ""looking forward to your prompt response.""}, {""forbidden_words"": [""appreciation"", ""product"", ""exchange""]}]"
86,"[{""role"": ""user"", ""content"": ""Write a 100-word advertisement for a company called \""Drags and Races\"". Don't contain the letter \""p\"" in your reply.""}, {""role"": ""user"", ""content"": ""Your response should contain 2 sections separated by the word 'PARAGRAPH'.""}, {""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}]","Write a 100-word advertisement for a company called ""Drags and Races"". Don't contain the letter ""p"" in your reply.",Your response should contain 2 sections separated by the word 'PARAGRAPH'.,"The text should contain a postscript marker, specifically the phrase ""P.S."", which indicates additional information or a final thought.","[""keywords:letter_frequency"", ""length_constraints:number_words"", ""detectable_format:multiple_sections"", ""detectable_content:postscript""]","[{""let_relation"": ""less than"", ""letter"": ""p"", ""let_frequency"": 1}, {""relation"": ""at least"", ""num_words"": 100}, {""section_spliter"": ""PARAGRAPH"", ""num_sections"": 2}, {""postscript_marker"": ""P.S.""}]"
87,"[{""role"": ""user"", ""content"": ""What are some startup ideas that could help improve the lives of people in developing regions? Make sure your response is in English and only use lowercase letters. Your response should contain less than 20 sentences.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your response should include the word recycling at least 3 times.""}]",What are some startup ideas that could help improve the lives of people in developing regions? Make sure your response is in English and only use lowercase letters. Your response should contain less than 20 sentences.,"The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",Your response should include the word recycling at least 3 times.,"[""change_case:english_lowercase"", ""length_constraints:number_sentences"", ""detectable_format:title"", ""keywords:frequency""]","[{}, {""relation"": ""less than"", ""num_sentences"": 20}, {}, {""relation"": ""at least"", ""keyword"": ""recycling"", ""frequency"": 3}]"
88,"[{""role"": ""user"", ""content"": ""What are some startup ideas that could help improve the lives of people in developing regions? Make sure your response is in English and only use lowercase letters. Your response should contain less than 20 sentences.""}, {""role"": ""user"", ""content"": ""The text should contain a postscript marker, specifically the phrase \""P.S.\"", which indicates additional information or a final thought.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""together, we can make a difference.\"" No other words should follow this phrase.""}]",What are some startup ideas that could help improve the lives of people in developing regions? Make sure your response is in English and only use lowercase letters. Your response should contain less than 20 sentences.,"The text should contain a postscript marker, specifically the phrase ""P.S."", which indicates additional information or a final thought.","Your response should end with the exact phrase: ""together, we can make a difference."" No other words should follow this phrase.","[""change_case:english_lowercase"", ""length_constraints:number_sentences"", ""detectable_content:postscript"", ""startend:end_checker""]","[{}, {""relation"": ""less than"", ""num_sentences"": 20}, {""postscript_marker"": ""P.S.""}, {""end_phrase"": ""together, we can make a difference.""}]"
89,"[{""role"": ""user"", ""content"": ""Write a blog post about the sleek new magistrates with at least 300 words. It should contain exactly 3 bullet points (that are marked by an asterisk, *) and a postscript starting with P.S. at the end.""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""Your response should include the word courthouse at least 2 times.""}]","Write a blog post about the sleek new magistrates with at least 300 words. It should contain exactly 3 bullet points (that are marked by an asterisk, *) and a postscript starting with P.S. at the end.","Make sure your entire response is in English, and in all capital letters.",Your response should include the word courthouse at least 2 times.,"[""length_constraints:number_words"", ""detectable_format:number_bullet_lists"", ""detectable_content:postscript"", ""change_case:english_capital"", ""keywords:frequency""]","[{""relation"": ""at least"", ""num_words"": 300}, {""num_bullets"": 3}, {""postscript_marker"": ""P.S.""}, {}, {""relation"": ""at least"", ""keyword"": ""courthouse"", ""frequency"": 2}]"
90,"[{""role"": ""user"", ""content"": ""Write a blog post about the sleek new magistrates with at least 300 words. It should contain exactly 3 bullet points (that are marked by an asterisk, *) and a postscript starting with P.S. at the end.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""remember, progress in legal infrastructure reflects our commitment to justice and community.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""Your response should include the word design at least 1 times.""}]","Write a blog post about the sleek new magistrates with at least 300 words. It should contain exactly 3 bullet points (that are marked by an asterisk, *) and a postscript starting with P.S. at the end.","Your response should end with the exact phrase: ""remember, progress in legal infrastructure reflects our commitment to justice and community."" No other words should follow this phrase.",Your response should include the word design at least 1 times.,"[""length_constraints:number_words"", ""detectable_format:number_bullet_lists"", ""detectable_content:postscript"", ""startend:end_checker"", ""keywords:frequency""]","[{""relation"": ""at least"", ""num_words"": 300}, {""num_bullets"": 3}, {""postscript_marker"": ""P.S.""}, {""end_phrase"": ""remember, progress in legal infrastructure reflects our commitment to justice and community.""}, {""relation"": ""at least"", ""keyword"": ""design"", ""frequency"": 1}]"
91,"[{""role"": ""user"", ""content"": ""Generate a summary of the following passage in all capital letters:\n\nWorld War II or the Second World War, often abbreviated as WWII or WW2, was a global conflict that lasted from 1939 to 1945. The vast majority of the world's countries, including all of the great powers, fought as part of two opposing military alliances: the Allies and the Axis. Many participants threw their economic, industrial, and scientific capabilities behind this total war, blurring the distinction between civilian and military resources. Aircraft played a major role, enabling the strategic bombing of population centres and the delivery of the only two nuclear weapons ever used in war. World War II was by far the deadliest conflict in history, resulting in an estimated 70 to 85 million fatalities, mostly among civilians. Tens of millions died due to genocides (including the Holocaust), starvation, massacres, and disease. In the wake of Axis defeat, Germany, Austria and Japan were occupied, and war crimes tribunals were conducted against German and Japanese leaders.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""The number of sentences in your response should be less than 6.""}]","Generate a summary of the following passage in all capital letters:

World War II or the Second World War, often abbreviated as WWII or WW2, was a global conflict that lasted from 1939 to 1945. The vast majority of the world's countries, including all of the great powers, fought as part of two opposing military alliances: the Allies and the Axis. Many participants threw their economic, industrial, and scientific capabilities behind this total war, blurring the distinction between civilian and military resources. Aircraft played a major role, enabling the strategic bombing of population centres and the delivery of the only two nuclear weapons ever used in war. World War II was by far the deadliest conflict in history, resulting in an estimated 70 to 85 million fatalities, mostly among civilians. Tens of millions died due to genocides (including the Holocaust), starvation, massacres, and disease. In the wake of Axis defeat, Germany, Austria and Japan were occupied, and war crimes tribunals were conducted against German and Japanese leaders.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",The number of sentences in your response should be less than 6.,"[""change_case:english_capital"", ""detectable_format:title"", ""length_constraints:number_sentences""]","[{}, {}, {""relation"": ""less than"", ""num_sentences"": 6}]"
92,"[{""role"": ""user"", ""content"": ""Write a story from a perspective of a man. Include some conversation in the story. Avoid using the letter i more than twice.""}, {""role"": ""user"", ""content"": ""The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}, {""role"": ""user"", ""content"": ""Your result must be entirely in lowercase English.""}]",Write a story from a perspective of a man. Include some conversation in the story. Avoid using the letter i more than twice.,The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.,Your result must be entirely in lowercase English.,"[""keywords:letter_frequency"", ""length_constraints:number_paragraphs"", ""change_case:english_lowercase""]","[{""let_relation"": ""less than"", ""letter"": ""i"", ""let_frequency"": 3}, {""num_paragraphs"": 3}, {}]"
93,"[{""role"": ""user"", ""content"": ""Write a story from a perspective of a man. Include some conversation in the story. Avoid using the letter i more than twice.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your result should contain less than 121 words.""}]",Write a story from a perspective of a man. Include some conversation in the story. Avoid using the letter i more than twice.,"The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",Your result should contain less than 121 words.,"[""keywords:letter_frequency"", ""detectable_format:title"", ""length_constraints:number_words""]","[{""let_relation"": ""less than"", ""letter"": ""i"", ""let_frequency"": 3}, {}, {""relation"": ""less than"", ""num_words"": 121}]"
94,"[{""role"": ""user"", ""content"": ""Invent a funny tagline for a local comedy show, and put your whole response in double quotes.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""In your response, words in all capital letters should have at least 1 times.""}]","Invent a funny tagline for a local comedy show, and put your whole response in double quotes.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","In your response, words in all capital letters should have at least 1 times.","[""startend:quotation"", ""detectable_format:title"", ""change_case:capital_word_frequency""]","[{}, {}, {""capital_relation"": ""at least"", ""capital_frequency"": 1}]"
95,"[{""role"": ""user"", ""content"": ""Write me a template for a product description in the form of a poem and end it with a post script starting with P.P.S""}, {""role"": ""user"", ""content"": ""The text should contain fewer than 31 sentences.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""p.p.s. thank you for considering our creation.\"" No other words should follow this phrase.""}]",Write me a template for a product description in the form of a poem and end it with a post script starting with P.P.S,The text should contain fewer than 31 sentences.,"Your response should end with the exact phrase: ""p.p.s. thank you for considering our creation."" No other words should follow this phrase.","[""detectable_content:postscript"", ""length_constraints:number_sentences"", ""startend:end_checker""]","[{""postscript_marker"": ""P.P.S""}, {""relation"": ""less than"", ""num_sentences"": 31}, {""end_phrase"": ""p.p.s. thank you for considering our creation.""}]"
96,"[{""role"": ""user"", ""content"": ""\""The man was arrested for stealing a car. He was later released on bail.\"" Expand on it angrily in a rap style, and make sure there are exactly 4 sections. Separated the sections by the markdown divider: ***""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""but justice's voice will rise above it all.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""Your result must be entirely in lowercase English.""}]","The man was arrested for stealing a car. He was later released on bail. Expand on it angrily in a rap style, and make sure there are exactly 4 sections. Separated the sections by the markdown divider: ***","Your response should end with the exact phrase: ""but justice's voice will rise above it all."" No other words should follow this phrase.",Your result must be entirely in lowercase English.,"[""length_constraints:number_paragraphs"", ""startend:end_checker"", ""change_case:english_lowercase""]","[{""num_paragraphs"": 4}, {""end_phrase"": ""but justice's voice will rise above it all.""}, {}]"
